id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
1220,1220,"łoč",n4,dance," 
",2010-02-20
1221,1221,"łoħro",n3,frog," 
",2009-07-28
1222,1222,"łˤon-łˤono",num,for.three,"vllt. ""jeweils drei""",2014-01-17
1223,1223,"łˤono",num,three,"Was written without the ` in Arabuzan.097!",2014-05-20
1224,1224,"łˤonoqu",num,sixty," 
",2007-07-04
1225,1225,"łˤono-uyno",num,three.or.four," 
",2010-03-02
1226,1226,"łˤora",num,three.OBL," 
",2007-01-08
1227,1227,"łˤora-uyra",num,three.or.four.OBL," 
",2014-01-23
1228,1228,"łox",adv,thrice,"should be ""lh`ox""",2006-11-11
1229,1229,"łox-uyrax",num,three.or.four.times,"Not in the Dictionary! (I think)",2013-08-04
1230,1230,"łu",pron,"who.OBL; who.ERG"," 
",2009-01-24
1231,1231,"ługon",pron,"nobody; someone","Dict.: ""lhukin""; where does the 'nobody' translation come from? Arsen says it's 'somebod'.
",2014-06-25
1232,1232,"-łun",nsuf,LHUN,"What does it mean?! Maybe ""due to"" (Razhbadin.176) or ""as"" (Ohoyo.037, Girl.075, Arabuzan.128)? Probably the latter...
 something like a translative, but it's not a case.
",2014-06-25
1233,1233,"łuq’zi",comp,hurt," 
",2009-08-27
1234,1234,"-łxor",nsuf,CONT.VERS,"used for instance in ""to"" (the marriage)",2013-08-04
1235,1235,"-ƛ",vsuf,OPT," 
",2014-02-01
1236,1236,"-ƛ",nsuf,SUB.ESS,"'he said to himself' = ""...etlhin nesä nesitlh""; 'on his own' = ""nelha nelhatlh"" (Tail.011)
",2014-06-25
1237,1237,"ƛa",excl,go.IMPR,"Also: ""Let's go!""",2009-06-28
1238,1238,"-ƛa",suf,INDEF,"e.g. ""shidatlha"" = why-INDEF = 'for some reason', ""who.ERG-INDEF"" = 'someone'; ""hhumukulitlha"" = 'any camel';
 on verbs it perhaps expresses hypothetical conditions (""if I had"":
 Copper_coin.017)
",2014-06-25
1239,1239,"ƛaħi-ogur",v,tear.to.pieces,"Not in the Dictionary!",2010-04-09
1240,1240,"ƛaħi-rogasi",adj,torn,"Not in the dictionary! Arsen: ""porvannyj-KACH""",2014-06-25
1241,1241,"ƛaƛaƛi",v,feel.up," 
",2009-05-26
1242,1242,"-ƛax",suf,QUOT,"impersonal (""one says..."")",2013-08-04
1243,1243,"-ƛay",nsuf,SUB.ABL,"also means ""for, in order to"" (e.g. when used on a MSD form, like Razhbadin.197 or Bilqisdi.079)
",2014-06-25
1244,1244,"-ƛaza",nsuf,SUB.VERS," 
",2010-02-20
1245,1245,"-ƛäz",nsuf,SUB.ESS.DIST," 
",2009-04-28
1246,1246,"-ƛäzay",nsuf,SUB.ABL.DIST," 
",2009-04-28
1247,1247,"ƛe",n3,bridge,"According to the Dictionary, ""tlhe"" in class III = bridge; ""tlhe"" in class II = staircase, ladder.
",2014-06-25
1248,1248,"ƛˤeb",n2,year,"Dict.: ""tlh`ab"" (class III), but it's definitely class II everywhere; ""to become # years old"" = X-POSS.ESS # tlh`eb yay-"" (lit.: ""# years
 come to X"")
",2014-06-25
1249,1249,"ƛˤeb",n2,leaf,"Dict.: ""tlh`ab""",2009-09-12
1250,1250,"ƛˤebaxay",adv,yearly,"Dict.: ""tlh`ebahhay""",2007-05-31
1251,1251,"ƛeɣ",v,exploit,"Not in the Dictionary! (could be ""tlheghu-"" as well, who knows?)",2014-06-25
1252,1252,"ƛeli",n3,lamb," 
",2006-11-17
1253,1253,"-ƛer",nsuf,SUB.LAT,"some place nouns require SUB (like ""cattle-shed"" [rechu] etc.)",2014-06-25
1254,1254,"ƛešu",v,pour," 
",2009-09-02
1255,1255,"ƛex",n,ceiling,"Not in the Dictionary! (Dict. doesn't seem to have a word ""ceiling"" itself, but has ""tlhexetlh"" = under the ceiling)
",2014-06-25
1256,1256,"ƛexu",v,remain," 
",2012-08-28
1257,1257,"ƛexu",n2,log," 
",2009-02-03
1258,1258,"ƛexu-iči",v,remain," 
",2010-05-25
1259,1259,"-ƛin",suf,QUOT," 
",2014-05-26
1260,1260,"ƛirba",n1,"guest; comrade","comrade = Russ. ""kunak"" (friends among mountaineers in the Caucasus)
",2014-06-25
1261,1261,"ƛirbałi",n4,hospitality,"""tlhirbalhix"" = 'as a guest'",2014-01-17
1262,1262,"ƛirba-žek’u",n1,guest," 
",2007-05-30
1263,1263,"ƛisi",v,"pull; carry"," 
",2013-09-03
1264,1264,"ƛisi-oxu",v,drag," 
",2014-01-05
1265,1265,"ƛoħo",n4,pan,"Dict. doesn't have OBL in ""tlhohha-""",2013-08-04
1266,1266,"ƛˤori",n3,war,"Dict.: class II; but text says it's class III (see Dream.035 and Dream.052); Dict. also doesn't have OBL form in ""tlh`or-""
",2014-06-25
1267,1267,"ƛuƛi",v,give.birth," 
",2013-08-01
1268,1268,"ƛuqi-ƛaqi",n,skirmish,"Not in the Dictionary! (Arsen: ""stychka""); Schiesserei oder so...",2014-06-25
1269,1269,"ƛuxi-ƛaxi",n,"rustling; shivering","Not in the dictionary!",2012-08-27
1270,1270,"ƛuza",n4,bone,"Dictionary has class III, but the texts show IV.",2014-05-20
1271,1271,"ƛuza-muk’a",n3,bone.leftovers," 
",2010-05-24
1272,1272,"-ƛxor",nsuf,SUB.LAT," 
",2007-05-25
1273,1273,"-ƛ’",nsuf,SUPER.ESS,"can also mean ""about"" and ""in"" (a language/melody) or ""with a look"" (see Handkerchief.023); also used with abstracta for ""in ...ness""
 (~ ""...-ly"") and to mark the argument for ""to agree on X"" (X-tlh' razi
 -oq-); also: ""in the air"" and ""on (Fridays/the third day)""; also ""for a
 dance"" (see Stepdaughter.033-034). Also ""(to share) among"" (see
 Smith.026). And: ""believe in"" (-tlh' buzhzi -oq-)
",2014-06-25
1274,1274,"-ƛ’",vsuf,PCT.CVB,"Punctual converb (like ""while""?)",2013-08-04
1275,1275,"-ƛ’aɣor",nsuf,SUPER.VERS,"mostly ""towards"" (mountains...)",2013-08-04
1276,1276,"ƛ’aħi-ogu",v,tear.apart,"Not in the dictionary! (Arsen: ""porvat'"" / translation: ""rvanaja"" [participle])
",2014-06-25
1277,1277,"-ƛ’ar",nsuf,SUPER.VERS," 
",2006-10-25
1278,1278,"ƛ’ara",n3,ear.of.corn," 
",2008-04-22
1279,1279,"ƛ’ariyaw",adj,fat," 
",2009-08-02
1280,1280,"ƛ’at’u",n3,caprice,"Dict. doesn't have OBL form in ""tlh'at'umo-""; dt.: Laune, Bockigkeit",2014-06-25
1281,1281,"-ƛ’ay",nsuf,SUPER.ABL,"Also in comparison (""than...""), and ""from her telling"" = 'X-z xabaryotlh'ay'; after ""zhigo"" (again) it might mean ""once again"" or
 ""different from before"" (see Widow.047); also note ""ghudtlh'ay
 ghudtlh'or"" (day in and day out)
",2014-06-25
1282,1282,"-ƛ’az",nsuf,SUPER.ESS.DIST," 
",2006-11-17
1283,1283,"-ƛ’aza",nsuf,SUPER.VERS.DIST,"also used for ""in"" or ""after"" with time words (in 20 years = ""qura tlh`ebatlh'aza""; after 4 or 5 days = ""uyra-lhera ghudtlh'aza"") and for
 ""due to"" (""kumakyotlh'aza"" = 'due to the help of...' / ""nelhtlh'aza"" =
 'because of that'); ""zamanatlh'aza"" = after some time; also used
 locatively for 'over the steps' (""q`itlhurazatlh'aza"")
",2014-06-25
1284,1284,"-ƛ’azar",nsuf,SUPER.LAT.DIST," 
",2013-10-26
1285,1285,"-ƛ’azay",nsuf,SUPER.ABL.DIST,"Usually means ""from on""; can also mean ""after (9 months)"".",2014-06-25
1286,1286,"ƛ’e",n3,malt," 
",2010-01-07
1287,1287,"ƛ’emi",n4,hayloft,"Not in the Dictionary!",2007-05-25
1288,1288,"ƛ’er",n3,color," 
",2009-09-12
1289,1289,"ƛ’ili-muži",n,saddle,"Not in the Dictionary! (Arsen / translation: ""sedlo"")",2014-06-25
1290,1290,"ƛ’ili-q’ay",n,saddle.and.stuff,"Not in the Dictionary! (Arsen: ""sedlo-imushchestvo"" or ""sedlo""; so it means 'saddle and ones belongings' or just 'saddle')
",2014-06-25
1291,1291,"ƛ’iƛ’ił",v,get.crushed," 
",2009-08-24
1292,1292,"ƛ’iq",v,cover,"КЬИХЪ/Á (-ух, -ус, -ан, -о) крыть (крышу); кьуI кьихъа покрыть (засыпать) плоскую крышу землей; гъутку кьихъа крыть дом;
 асах. кьихъвá  КЬИХЪА/ДÁ (-х, -с, -дан, -д) учащ. от кьихъá
 
",2014-06-25
1293,1293,"ƛ’iräy","post; adv",from.above,"with SUPER.ESS; or with ABS: ""X (Y) tlh'iräy (Y) -ogh-"" = X apologizes to Y (lit.: 'X takes Y down'); likewise ""(X-SUPER.ESS)
 tlh'iräy -oq-"" means to forgive
",2014-06-25
1294,1294,"ƛ’iri","adv; post","above; on","+ SUPER.ESS, CONT.ESS; can also mean ""upstairs""!; ""tlh'iri -is-"" (take above) = 'to execute, to fulfil'; ""tlh'iri -uti-"" (turn above) = 'to
 insist'; ""tlh'iri -ichi-"" (remain above) = 'be diligent, to insist'; can also
 mean 'near, close'; does tlh'irir mean 'suddenly'?
",2014-06-25
1295,1295,"ƛ’iyoħo",adv,down,"Dict.: ""tlh'iyohh-"" (go down), ""tlh'iyor"" (down(ward))",2014-06-25
1296,1296,"ƛ’iyor",adv,downwards," 
",2009-08-26
1297,1297,"ƛ’ˤiyor",adv,downward,"Dict.: ""tlh'iyor""",2009-04-30
1298,1298,"ƛ’oq’ˤo",n3,forehead,"Dict.: ""tlh'`oq'o""",2007-03-19
1299,1299,"-ƛ’or",nsuf,SUPER.LAT,"Also used for ""at [time]""; ""sing about X"" = ""X-SUPER.LAT kech' bogha""; usually means ""to (...)""; also note ""ghudtlh'ay ghudtlh'or""
 (day in and day out); ""sidatlh'or"" = 'together' (often before 'gather').
 Interesting use also in Smith.016 (""terminally ill"" = 'untaraw
 beexnitlh'or bayäsi'). Also used in ""turn into"" (X-tlh'or -uti-).
",2014-06-25
1300,1300,"-ƛ’oräy",vsuf,SIM.CVB,"= ""while, when""",2009-06-25
1301,1301,"ƛ’oxono",adj,huge," 
",2014-05-13
1302,1302,"ƛ’ˤu",n3,roof," 
",2009-07-03
1303,1303,ma,n2,"yard; gate; outside; door","Not in the Dictionary!",2013-09-18
1304,1304,"mač’a",n4,"saber; dagger"," 
",2008-08-20
1305,1305,"mač’i",n4,dagger,"Dict.: ""mach'a""",2009-08-25
1306,1306,"madaħ",adv,outside,"Dict.: ""madahhor""",2008-08-26
1307,1307,"madaħor",adv,outside,"Dict.: ""madahhar""; direction (hinaus)!",2013-08-04
1308,1308,maduhal,n1,neighbor," 
",2008-05-25
1309,1309,"maduhalłi",n4,neighbourhood," 
",2012-08-28
1310,1310,magalu,n3,bread," 
",2009-09-28
1311,1311,magazin,n4,shop," 
",2009-04-06
1312,1312,mahar,n4,wedding,"""X-GEN1 mahar rogh-"" = to get divorced from X (lit.: ""take away X's wedding)
",2014-06-25
1313,1313,"maħ",n3,"smell; spirit"," 
",2008-08-26
1314,1314,"maħal",n,might,"Not in the dictionary!",2007-06-17
1315,1315,"Maħama",n1,Magomed,"personal name",2009-11-12
1316,1316,"maħi",n4,tail," 
",2008-05-25
1317,1317,"maħišat",n,fortune,"Not in the Dictionary! (Arsen: sostojanie)",2014-05-20
1318,1318,"maħla",n4,court," 
",2007-03-27
1319,1319,"maħor",adv,outside,"Dict.: ""madahhar"" (~ towards outside); ""out of"" = with IN.ABL(.DIST) or IN.VERS.DIST [Oku.066, Father_and_sons.048]
",2014-06-25
1320,1320,makru,n,ruse,"Not in the Dictionary! Arsen: ""ulovka""",2013-09-18
1321,1321,"mak’ur",comp,persuade,"Not in the Dictionary! (Arsen: ""ubedit'"")",2014-05-20
1322,1322,malaik,n1,angel," 
",2013-12-29
1323,1323,"mˤali",n3,nose," 
",2013-09-10
1324,1324,"malʕun",n3,villain," 
",2009-11-03
1325,1325,mamalay,n3,rooster," 
",2007-04-02
1326,1326,"Mamali-Maħama",n1,Mamali-Magomed,"male name",2012-08-06
1327,1327,mangi,n4,couch,"Not in the Dictionary!",2007-06-25
1328,1328,manzil,n3,distance," 
",2013-09-07
1329,1329,maqi,n3,barley,"Dict.: ""maqa"" (with ""maqas/maqes"" as GEN1)",2014-05-20
1330,1330,"maqˤi",adv,far.away," 
",2009-08-29
1331,1331,"maq’an",n3,melody,"Dict. doesn't have OBL in ""maq'anyo-""",2014-05-20
1332,1332,"marɣal",n4,pearl," 
",2013-07-21
1333,1333,"mark’ač’u",n2,twilight,"Dict.: ""march'ak'a""",2010-07-19
1334,1334,Maryam,n2,Maryam,"female name",2009-08-29
1335,1335,masala,n3,task,"assign a task = ""masala era""",2013-08-04
1336,1336,"mat’i",n3,"duck; goose"," 
",2007-03-27
1337,1337,maxsar,n3,joke,"Dict.: ""maaxara""  ""Zheda maaxaryotlh' di issx."" = they take me on the joke = 'they are kidding me'
",2014-06-25
1338,1338,"maxšel",n3,skill,"Dict. doesn't have OBL in ""maxshelyo-""",2014-05-20
1339,1339,"maxšel-hunar",n3,skill,"Not in the dictionary!",2013-07-18
1340,1340,maydan,n2,clearance," 
",2007-07-06
1341,1341,"mazaħ",adv,outside,"Not in the Dictionary! Seems to be a strange form of ""ma"" or ""mahh""(?) with the same meaning
",2014-06-25
1342,1342,"mažgit",n4,mosque," 
",2009-09-10
1343,1343,"Maʕat’i",n1,"Ma'ati","personal name",2009-08-24
1344,1344,"maʕdinaw",adj,pretty,"Dict.'s definition is a little different... Arsen: ""krasivyj""",2014-06-25
1345,1345,"maʕdinay",adj,lovely,"Dict. has ""ma3dinaw""",2010-06-18
1346,1346,"maʕdinłi",n4,beauty,"Not in the Dictionary! (Arsen: krasota)",2014-05-14
1347,1347,"maʕišat",n3,fortune,"or ""condition""?; ""ma3ishat -odi-"" means 'to do one's household' (after living in one's own house)
",2014-06-25
1348,1348,"maʕna",n3,sense,"Dict.: class II, but in the texts: class III, so I changed it.",2014-06-25
1349,1349,mec,n3,"language; tongue"," 
",2008-10-29
1350,1350,mec-mec,n,flame,"Not in the Dictionary! (Arsen: ""plamja-plamja"")",2014-05-20
1351,1351,mecra,n3,enclosure,"for animals (sheep pen)",2010-05-31
1352,1352,mecu,n3,hand,"Dict. has OBL in ""mecyu-"" but not in ""mecyo-"", I think.",2014-06-25
1353,1353,mecya,n,hand,"Not in the Dictionary! (not sure if this is the OBL, Arsen glosses it as ""ruka"")
",2014-06-25
1354,1354,"meč",n3,nettle,"(-a(long), -as, -abi)",2014-07-04
1355,1355,"meča","post; adv","instead.of; instead","Dict.: ""mechâ""; with GEN2; literally place.IN.ESS (""mochi"") or apparently with GEN1 on verbs with a masdar (see Razhbadin.184)...
 but also occurs with GEN1 (see Atid.039)
",2014-06-25
1356,1356,"meč’",n3,neck,"""mech' -odi-"" = get fat",2009-09-29
1357,1357,"meč’o",n3,hug," 
",2006-12-01
1358,1358,"meɣu",n2,udder,"Dict. doesn't have oblique in ""meghyo-""",2014-05-20
1359,1359,meka,n3,hunger,"used like ""meka di isäsi yolh"" (I am taken by the hunger; meka in ERG)
",2014-06-25
1360,1360,meko,n3,hunger,"Dict.: ""meka"" (Mok.: ""meko"")",2013-08-04
1361,1361,mekod,v,be.hungry,"Dict.: ""mekada""",2007-06-25
1362,1362,meko-quqi,v,hunger.and.thirst,"Not in the Dictionary! (Arsen: golodat'-sushit')",2014-05-20
1363,1363,"meq’",adv,incorrectly,"Dict.: ""meq'sa""",2010-01-18
1364,1364,"meq’aw",adj,wrong,"Dict.: meq'ab (2)",2013-12-04
1365,1365,mesed,n3,gold," 
",2006-09-18
1366,1366,"meš",n4,broom," 
",2009-08-07
1367,1367,"meši",n3,bull.calf," 
",2012-08-28
1368,1368,"meš-kuro",n4,broom,"Not in the Dictionary! Unsure, glossed by Arsen as 'metelka-ograzhdenie'... might be 'broom.closet'?
",2014-06-25
1369,1369,"mešok’la",n3,moustache,"Dict.: ""mesholga""",2007-02-26
1370,1370,"mešori",n3,heifer,"Dict. doesn't have OBL form in ""meshor-""; Dt.: ""Färse"" (junge Kuh)",2014-06-25
1371,1371,Metirozi,n1pl,Metrada.people,"people from Metrada, an Avar village",2013-08-04
1372,1372,"met’ri",n2,piece.of.meat,"Often as ""retlhis met'ri"", so it might only refer to ""piece""",2014-06-25
1373,1373,mey,n3,birch,"Dict.: ""me""",2009-08-25
1374,1374,meza,n1,son-in-law," 
",2010-08-18
1375,1375,"meža",pron,you(II-IV).PL.OBL,"two obliques: ""mezhu-"" is class I, ""mezha-"" is class II-IV",2014-06-25
1376,1376,"meži",pron,you.PL," 
",2009-07-31
1377,1377,"mežu",pron,you(I).PL.OBL,"two obliques: ""mezhu-"" is class I, ""mezha-"" is class II-IV",2014-06-25
1378,1378,mi,pron,you," 
",2006-12-01
1379,1379,micxir,n3,"money; silver","Can also mean 'price'.",2014-02-13
1380,1380,micxir-mesed,n3,money.and.gold,"Not in the Dictionary! (Arsen: den'gi-zoloto)",2014-05-20
1381,1381,"miƛ’i",n3,ram," 
",2007-05-30
1382,1382,"miƛ’ir",n,peach,"(moƛ’roca, moƛ’rol); not in the Tsez dictionary, probably Avar word, because it was found in Avar-Russian dictionary, p.85;
 absence of noun class;  Tsez word for `peach` is kušuħ (-ä(long), -is,
 -ibi)
",2014-06-25
1383,1383,"miƛ’iryo",n,peach.OBL,"Avar word (Avar-Russian dictionary, p.85);  Tsez word for `peach` is kušuħ (-ä(long), -is, -ibi)
",2014-06-25
1384,1384,minara,n,minaret,"Not in the dictionary!",2007-04-09
1385,1385,minut,n3,minute," 
",2006-12-19
1386,1386,Mirza,n1,Mirza,"(male name)",2009-08-07
1387,1387,misal,n3,problem," 
",2009-08-24
1388,1388,misikin,adj,poor,"Dict.: ""miskin""",2007-03-26
1389,1389,miskin,adj,poor," 
",2007-03-10
1390,1390,miskinaw,adj,poor,"class I (Avar suffix -w)",2007-02-26
1391,1391,"miskinłi",n4,poverty," 
",2010-05-10
1392,1392,"mišayat",comp,obstacle,"Dict.: ""mishiyat boda"" (is it n3 or comp?)",2014-05-20
1393,1393,mix,n3,time,"Dict.: ""mex""",2009-09-02
1394,1394,"mixƛ’o",adv,"late.at.night; at.a.time","Dict.: ""mixtlh'or"" & ""mix-mixtlh'o""; Arsen says 'vremja-SUP.ESS'",2014-06-25
1395,1395,mo,n2,fat," 
",2010-08-07
1396,1396,-mo,nsuf,ERG,"very seldom, e.g. ""mushimo"" (breath)...",2014-05-20
1397,1397,"moči",n3,"place; field"," 
",2008-04-24
1398,1398,mogol,n3,night,"Dict.: ""bogol""; maybe only in ""m/bogoles kak"" (night prayer)",2014-06-25
1399,1399,mogolo,n3,granary," 
",2009-05-29
1400,1400,"mołi",v,teach,"recipient/beneficient is marked with POSS.ESS; can also mean ""explain""
",2014-06-25
1401,1401,"moƛu",n2,sleep,"""motlha"" can be the absolutive as well (and often is, in texts)",2014-06-25
1402,1402,"moƛ’oqˤoy",n4,bridle,"Dict.: ""m`otlh'iqoy"" (dt.: Zaumzeug)",2013-08-04
1403,1403,mow,n2,tear," 
",2007-03-13
1404,1404,moxo,n3,thread," 
",2013-07-21
1405,1405,"mučari",n4,cumin,"dt.: Kümmel; but seems to mean ""flat cake"" ('lepjoshka') as well...",2014-06-25
1406,1406,"muɣ",n3,bundle," 
",2006-09-15
1407,1407,muhru,n3,birthmark,"Dict.: ""muhhru""",2009-08-29
1408,1408,muhu,n3,granule,"Dict. only has ""muhuma-"" as oblique form.",2014-05-20
1409,1409,"Muħamad",n1,Muhammad,"Not in the Dictionary! (male name)",2013-08-04
1410,1410,muk,n3,salary,"Not in the Dictionary! (salary of/for the work = ""hhalt'os muk"")",2014-06-25
1411,1411,"muk’ur",comp,"confess; agree; persuade","+ boqa = ""confess"" / ""agree""; + boda = ""persuade""",2014-06-25
1412,1412,"mumpaʕat",n3,benefit," 
",2007-03-24
1413,1413,muq,n3,line,"Dict. doesn't have the OBL ""muqmo-""",2013-08-04
1414,1414,"muq’u",n3,gulp," 
",2009-08-20
1415,1415,murad,n3,wish," 
",2009-11-10
1416,1416,muri,n3,needle,"Dict. doesn't have weird ""mura"" plural",2013-08-04
1417,1417,muro,n3,needle,"Dict.: ""muri""",2008-07-31
1418,1418,mus,n3,hair," 
",2013-12-29
1419,1419,Musa,n1,Musa,"(male name)",2009-08-07
1420,1420,"Musaqilič",n1,Musaqilich,"(male name)",2009-08-07
1421,1421,mus-kus,n4,wool,"Wool for knitting socks etc.",2013-08-04
1422,1422,musru,n3,shroud,"dt.: 'Leichentuch'",2010-02-26
1423,1423,"mustaħiq’aw",adj,suitable,"Not in the Dictionary!",2009-06-30
1424,1424,"muš",n2,pot,"Dict. says that ""mush"" is class III, agreement in Ten.008 shows that it's class II.
",2014-06-25
1425,1425,"muši",n3,"breath; smell; air","""mushi begir-"" = 'Luft schnappen' = ca. 'take a break'; ergative form is ""mushimo""!!! (see Uneyzat.176)
",2014-06-25
1426,1426,"muž",n3,foam," 
",2013-09-27
1427,1427,"muži",n3,nest," 
",2009-08-21
1428,1428,"muži",n3,mattress," 
",2009-09-30
1429,1429,"mužmar",n4,Friday,"might mean ""Friday prayer"" (see Wise.008)",2014-05-20
1430,1430,"muʕalim",n1,teacher," 
",2013-09-26
1431,1431,"muʔmin",adj,pious,"Not in the Dictionary! (original writes hard sign in the middle, Arabic word is written with a ""waw+hamza"" and pronounced with a
 glottal stop as well!)
",2014-06-25
1432,1432,-n,vsuf,PFV.CVB," 
",2012-08-06
1433,1433,-n,suf,"TOP; and"," 
",2013-09-18
1434,1434,-n,vsuf,PST.UNW," 
",2009-08-31
1435,1435,-n,vsuf,PROHIB,"involves stem vowel lengthening!",2013-08-04
1436,1436,na,pron,where," 
",2009-04-30
1437,1437,-na,vsuf,PFV.CVB.INT,"interrogative perfective converb (PERF.ZAGL.VOPR)?  not sure, if it's right. Probably composed of ""-n-a"".
",2014-06-25
1438,1438,"nagaħ",adv,"suddenly; suppose","'suppose' in the sense of 'if' (perhaps it's a conjunction?)",2014-06-25
1439,1439,"naħu",n2,oak," 
",2009-05-26
1440,1440,naib,n1,governor," 
",2008-08-26
1441,1441,"naibłi",n4,governorship,"better word? :/",2008-08-26
1442,1442,"nak’ila",n3,little.finger," 
",2006-11-03
1443,1443,nan,adv,even,"Not in the Dictionary! (Arsen: ""dazhe""); maybe related to the INTensifier ""-nan""?
",2014-06-25
1444,1444,-nan,suf,INT,"intensifier? only according to Arsen; seems to mean ""any"" as well behind plurals and other words... ""shebi rodinon"" means 'by all
 means'. But has the meaning ""even"" in Uneyzat.259, so intensifier
 makes sense.
",2014-06-25
1445,1445,nar,pron,where,"= to.where",2008-05-19
1446,1446,"narčey",pron,"where; why","Dict.: ""naar-..."" (no ""-chey"") = where",2013-08-04
1447,1447,nasi,pron,which,unsure...,2007-04-10
1448,1448,nasin,adj,all,"Dict.: ""nâsin""",2006-11-01
1449,1449,"na-šebi",pron,where.and.what,"Not in the Dictionary! (Arsen: ""gde-chto"")",2014-05-20
1450,1450,nay,adv,"from.there; from.where"," 
",2008-08-26
1451,1451,naynkin,adv,from.nowhere,"Dict.: ""naykin""",2007-07-02
1452,1452,naysinan,adv,everywhere,"Not in the Dictionary!",2008-07-04
1453,1453,nazay,adv,from.where," 
",2006-11-17
1454,1454,nazo,pron,"all.OBL; everyone.OBL","Not in the dictionary! It is an OBL form and should be named ""all.OBL"" instead; or just ""na-"" means ""all"" and ""-si/-zo"" is the ATTR
 suffix...
",2014-06-25
1455,1455,nazono,pron,all,"Not in the Dictionary!",2009-04-28
1456,1456,"naʕana",n3,curse," 
",2013-08-07
1457,1457,"-näy",vsuf,CND.CVB,"""if""",2010-02-16
1458,1458,nece,adv,so.much," 
",2006-11-20
1459,1459,"nec’ir",v,empty,"Not in the Dictionary! (Arsen: ""osvobodit'"")",2014-05-20
1460,1460,nediw,pron,such," 
",2006-11-11
1461,1461,nedu,pron,such,"Not in the Dictionary! (only some other forms)",2014-05-20
1462,1462,nedur,adv,so," 
",2006-11-07
1463,1463,"neła",pron,DEM1.IISG.OBL,"she.OBL; it.OBL; that.OBL",2013-08-04
1464,1464,"nełƛ’o",adv,"at.that.time; then"," 
",2008-05-20
1465,1465,"nełƛ’osi",adj,of.that.time," 
",2008-10-23
1466,1466,"nełquł",adv,on.that.day,"Dict.: ""nelhaqulh""",2006-11-07
1467,1467,"neƛ",v,"give; sell","goal is the speaker; recipient gets POSS.LAT",2014-05-20
1468,1468,nesi,pron,DEM1.ISG.OBL,"he.OBL; this.OBL",2009-09-12
1469,1469,"neširu",adv,"at.night; evening"," 
",2009-08-29
1470,1470,netayr,adv,how.much,"Dict.: ""netääydce""; perhaps derived somehow from ""neti-""?",2014-06-25
1471,1471,neti,pron,when,"""netikin"" = never (used with NEG verb); ""netitow"" = a long time ago
",2014-06-25
1472,1472,netin,adv,always," 
",2007-04-09
1473,1473,Newobi,n1pl,Mokok.people,"people from Mokok, a Tsez village",2013-08-04
1474,1474,nex,v,come," 
",2007-05-31
1475,1475,-ni,suf,DEF,"the [adj.] (one)",2012-08-09
1476,1476,-ni,deriv,MSD,"nominalizer for verbs.  BC: the masdar suffix seems to have two allomorphs, -ani in the affirmative (before which another vowel drops)
 and -ni in the negative.
",2014-06-25
1477,1477,"nič",comp,be.ashamed,"Dict.: ""nichzi boqa"" (while ""nich"" means shyness or sth.), this is more likely a compound verb, though
",2014-06-25
1478,1478,"ničzi",v,be.ashamed," 
",2009-04-06
1479,1479,niga,adj,green,"Dict. has 'light-blue' and 'dark-blue' as translations!",2014-06-25
1480,1480,"nigaɣˤič’i",n4,cloth,"Dict.: ""nigagh`ach'i""",2010-07-19
1481,1481,"niga-ɣˤič’i",n4,fabric,"Dict.: ""nigagh`ach'i""",2013-12-29
1482,1482,"-niƛäy",vsuf,PURP.CVB,"according to Arsen (""DEEP.CELI"")",2014-06-24
1483,1483,ninor,adv,hither,"Not in the dictionary!",2007-07-04
1484,1484,-nir,vsuf,PURP.CVB,"I was not sure, whether I should put -nix\-anix as a separate record. that's why I have just added them as an allomorph to -nir  
",2014-06-30
1485,1485,"nišiw",adj,narrow,"Dict.: ""nishyu""",2009-09-07
1486,1486,"niʕmat",n3,"bliss; delicacy","Dict.: ""mi`mat""",2010-07-09
1487,1487,noci,n3,louse," 
",2014-04-09
1488,1488,"noci-č’iki",n,lice.and.fleas,"Not in the Dictionary! (maybe class IV or IIIpl)",2014-05-20
1489,1489,nocu,n2,saliva," 
",2010-05-24
1490,1490,"nˤoƛu",n2,ashes," 
",2009-05-14
1491,1491,-non,suf,TOP,"Not quite sure if this is -no and -n; Arsen glosses this as one single marker named ""FOK"".
",2014-06-25
1492,1492,-nosi,vsuf,ANT.CVB,"""after...""",2010-04-23
1493,1493,nuci,n4,honey," 
",2013-10-22
1494,1494,nukar,n1,henchman,"Not in the Dictionary! (Arsen/translation: ""nuker'"" [word isn't even on Yandex.ru!])
",2014-06-25
1495,1495,nuzi-nezi,n4,complaint," 
",2010-05-31
1496,1496,"nuʕ",n1,witness,"Not in the Dictionary! (Arsen: svidetel')",2014-05-20
1497,1497,"nuʕłi",n4,proof,"Not in the Dictionary! (Arsen: dokazatel'stvo); note that the -mo would be the ERG form but also the IN.ESS, forming ""-mor"" instead
 of ""-ar"" for the IN.LAT!
",2014-06-25
1498,1498,-o,vsuf,IMPR," 
",2006-11-13
1499,1499,obiw,n1,father," 
",2009-01-15
1500,1500,oc,n2,threshing.floor," 
",2014-01-13
1501,1501,ocu,v,"become.clean; polish"," 
",2009-12-01
1502,1502,"oc’",v,"drive; urge","Not in the dictionary!",2008-09-11
1503,1503,"oc’ino",num,ten," 
",2006-12-12
1504,1504,"oc’ira",num,ten.OBL," 
",2006-12-12
